                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    161,                 1.0341,                0.71853,                 1.2616,                0.91017,                0.78969,                0.83253,                0.63823,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                    162,                  1.031,                0.71914,                 1.2497,                0.91119,                0.78913,                 0.8322,                0.63867,                    nan,                    nan,                    nan,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0221,                0.72103,                 1.2567,                0.91144,                0.78925,                 0.8321,                0.63844,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                    164,                 1.0234,                0.71079,                 1.2499,                0.91117,                0.78952,                0.83214,                0.63868,                    nan,                    nan,                    nan,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0254,                0.71182,                 1.2532,                0.91103,                0.78956,                0.83248,                0.63904,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                    166,                 1.0179,                0.70447,                 1.2418,                0.91074,                0.78999,                0.83209,                0.63911,                    nan,                    nan,                    nan,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0203,                0.71095,                 1.2529,                0.91102,                0.78991,                0.83215,                0.63913,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                    168,                 1.0281,                0.72095,                 1.2618,                0.91113,                0.79043,                0.83202,                0.63919,                    nan,                    nan,                    nan,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.0217,                 0.7182,                  1.249,                0.91159,                0.78996,                0.83194,                0.63943,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                    170,                 1.0318,                0.71304,                 1.2559,                0.91145,                0.78959,                0.83191,                0.63949,                    nan,                    nan,                    nan,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.0225,                0.71533,                 1.2524,                0.91132,                0.78972,                0.83183,                0.63976,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                    172,                 1.0191,                0.70672,                 1.2485,                 0.9118,                 0.7895,                0.83198,                0.64009,                    nan,                    nan,                    nan,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.0221,                0.71027,                 1.2507,                0.91144,                0.79005,                0.83209,                 0.6406,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                    174,                 1.0111,                0.69851,                  1.241,                 0.9111,                0.79052,                0.83197,                0.64055,                    nan,                    nan,                    nan,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.0199,                0.70761,                 1.2509,                0.91103,                0.79111,                0.83218,                0.64073,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                    176,                 1.0228,                0.70673,                 1.2492,                0.91131,                0.79087,                0.83226,                0.64109,                    nan,                    nan,                    nan,              0.0013375,              0.0013375,              0.0013375
                    177,                  1.005,                0.70125,                 1.2387,                 0.9122,                0.79098,                0.83234,                0.64133,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                    178,                 1.0113,                0.70511,                 1.2417,                0.91174,                0.79175,                0.83234,                0.64138,                    nan,                    nan,                    nan,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.0111,                0.70454,                  1.245,                0.91175,                0.79163,                0.83239,                0.64141,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                    180,                 1.0054,                 0.6971,                 1.2387,                0.91147,                0.79153,                 0.8324,                0.64156,                    nan,                    nan,                    nan,              0.0011395,              0.0011395,              0.0011395
                    181,                0.99779,                0.69346,                 1.2341,                0.91175,                0.79168,                 0.8326,                0.64162,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                    182,                 1.0068,                0.69915,                 1.2397,                 0.9117,                0.79168,                0.83255,                0.64194,                    nan,                    nan,                    nan,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0026,                0.69245,                 1.2371,                 0.9111,                 0.7921,                0.83264,                0.64224,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                    184,                0.99907,                 0.6905,                 1.2354,                0.91116,                0.79213,                0.83273,                0.64251,                    nan,                    nan,                    nan,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.9924,                0.67856,                 1.2281,                0.91163,                0.79182,                0.83273,                0.64258,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                    186,                0.99967,                0.69295,                 1.2325,                0.91155,                0.79168,                0.83276,                0.64282,                    nan,                    nan,                    nan,              0.0008425,              0.0008425,              0.0008425
                    187,                0.98652,                0.68095,                 1.2306,                0.91206,                 0.7913,                0.83279,                0.64309,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                    188,                0.99387,                0.68128,                 1.2289,                0.91186,                0.79153,                0.83283,                0.64308,                    nan,                    nan,                    nan,              0.0007435,              0.0007435,              0.0007435
                    189,                0.99339,                0.67842,                 1.2247,                0.91133,                0.79212,                0.83288,                0.64338,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                    190,                0.99254,                0.68059,                 1.2254,                0.91121,                0.79242,                0.83293,                0.64347,                    nan,                    nan,                    nan,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.9116,                0.55856,                 1.1665,                0.91087,                0.79275,                0.83309,                0.64338,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                    192,                0.90806,                0.55504,                  1.168,                0.91149,                0.79229,                 0.8332,                0.64339,                    nan,                    nan,                    nan,              0.0005455,              0.0005455,              0.0005455
                    193,                0.90113,                0.54689,                 1.1598,                0.91211,                 0.7915,                 0.8331,                0.64367,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                    194,                 0.8984,                 0.5426,                 1.1616,                0.91186,                 0.7924,                0.83326,                0.64383,                    nan,                    nan,                    nan,              0.0004465,              0.0004465,              0.0004465
                    195,                0.89328,                0.54014,                 1.1563,                0.91213,                0.79225,                 0.8333,                0.64407,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                    196,                 0.8938,                0.53929,                 1.1582,                 0.9122,                0.79227,                0.83332,                0.64418,                    nan,                    nan,                    nan,              0.0003475,              0.0003475,              0.0003475
                    197,                0.88758,                0.53851,                 1.1543,                0.91226,                0.79181,                0.83347,                0.64448,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
                    198,                 0.8874,                0.53626,                 1.1541,                 0.9124,                0.79142,                0.83353,                0.64448,                    nan,                    nan,                    nan,              0.0002485,              0.0002485,              0.0002485
                    199,                0.88492,                0.53197,                 1.1499,                0.91223,                0.79208,                0.83349,                0.64462,                    nan,                    nan,                    nan,               0.000199,               0.000199,               0.000199
                    200,                0.87995,                0.52865,                 1.1463,                0.91168,                0.79304,                 0.8336,                 0.6449,                    nan,                    nan,                    nan,              0.0001495,              0.0001495,              0.0001495
