                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2913,                 1.0501,                 1.4776,                0.87556,                0.73899,                0.79803,                0.55082,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     38,                 1.2719,                 1.0304,                 1.4643,                0.87073,                0.73752,                0.79406,                0.55164,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2737,                 1.0251,                 1.4619,                0.88275,                0.73436,                0.79301,                0.54793,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     40,                 1.2749,                 1.0302,                  1.461,                0.87489,                 0.7381,                0.79557,                 0.5542,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2577,                 1.0097,                 1.4499,                 0.8736,                0.74263,                0.80076,                0.55695,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     42,                 1.2581,                 1.0074,                 1.4449,                0.87222,                0.74895,                0.80328,                0.56001,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2567,                 1.0017,                 1.4466,                0.87636,                0.74776,                0.80383,                0.55857,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     44,                 1.2538,                0.98759,                 1.4351,                0.88181,                0.74687,                0.80351,                0.56212,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2536,                0.99092,                 1.4338,                0.87295,                0.74507,                0.79537,                0.55749,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     46,                 1.2533,                 0.9985,                 1.4413,                0.87623,                0.75263,                 0.8078,                0.56599,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2409,                0.99029,                 1.4362,                0.88454,                0.75208,                0.80749,                0.56829,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     48,                 1.2393,                0.99234,                 1.4292,                0.88851,                0.74117,                0.80096,                0.56025,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2324,                0.97396,                 1.4245,                0.88071,                0.75708,                0.81105,                0.57014,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     50,                 1.2351,                0.96964,                 1.4241,                0.87561,                0.75127,                0.80676,                0.56975,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
